user_id,channel,device,course_interest,ad_date,reached_landing,signed_up,started_trial,converted_paid,signup_date,trial_date,paid_date,revenue,cpc,month,month_name,month_num,week,day_of_week,hours_to_signup,hours_to_trial,days_to_paid,furthest_stage,acquisition_cost
USR-001,YouTube Ads,Desktop,Design,2025-10-26 10:13:00,False,False,False,False,2025-10-26 10:42:00,2025-10-26 21:42:00,2025-10-29 21:42:00,0,45,10,October,10,43,Sunday,,,,Ad Only,45
USR-002,Organic SEO,Mobile,Web Dev,2025-05-26 19:59:00,False,False,False,False,2025-05-26 21:00:00,2025-05-28 03:00:00,2025-06-18 03:00:00,0,0,5,May,5,22,Monday,,,,Ad Only,0
USR-003,Referral,Mobile,Web Dev,2025-08-16 18:19:00,True,False,False,False,2025-08-16 19:51:00,2025-08-17 12:51:00,2025-09-06 12:51:00,0,20,8,August,8,33,Saturday,,,,Landing,20
USR-004,Google Ads,Mobile,Digital Marketing,2025-10-05 18:23:00,False,False,False,False,2025-10-05 18:32:00,2025-10-06 08:32:00,2025-10-17 08:32:00,0,120,10,October,10,40,Sunday,,,,Ad Only,120
USR-005,Google Ads,Mobile,Digital Marketing,2025-05-06 18:38:00,False,False,False,False,2025-05-06 20:27:00,2025-05-08 04:27:00,2025-05-18 04:27:00,0,120,5,May,5,19,Tuesday,,,,Ad Only,120
USR-006,Referral,Mobile,Digital Marketing,2025-02-17 17:31:00,False,False,False,False,2025-02-17 18:59:00,2025-02-18 04:59:00,2025-03-01 04:59:00,0,20,2,February,2,8,Monday,,,,Ad Only,20
USR-007,Referral,Mobile,Digital Marketing,2025-03-09 15:32:00,True,True,True,False,2025-03-09 15:47:00,2025-03-11 08:47:00,2025-03-16 08:47:00,0,20,3,March,3,10,Sunday,0.25,41.25,,Trial,20
USR-008,YouTube Ads,Desktop,Web Dev,2025-07-20 11:50:00,True,True,True,False,2025-07-20 13:34:00,2025-07-21 01:34:00,2025-08-09 01:34:00,0,45,7,July,7,29,Sunday,1.7333333333333334,13.733333333333333,,Trial,45
USR-009,Organic SEO,Mobile,Finance,2025-07-10 08:03:00,False,False,False,False,2025-07-10 09:37:00,2025-07-11 06:37:00,2025-07-26 06:37:00,0,0,7,July,7,28,Thursday,,,,Ad Only,0
USR-010,Google Ads,Mobile,Finance,2025-06-17 19:26:00,False,False,False,False,2025-06-17 20:39:00,2025-06-19 04:39:00,2025-07-08 04:39:00,0,120,6,June,6,25,Tuesday,,,,Ad Only,120
USR-011,Organic SEO,Desktop,Design,2025-05-25 12:23:00,True,True,False,False,2025-05-25 14:10:00,2025-05-27 04:10:00,2025-06-17 04:10:00,0,0,5,May,5,21,Sunday,1.7833333333333334,,,Signup,0
USR-012,Referral,Mobile,Digital Marketing,2025-01-08 19:41:00,True,False,False,False,2025-01-08 21:41:00,2025-01-09 16:41:00,2025-01-18 16:41:00,0,20,1,January,1,2,Wednesday,,,,Landing,20
USR-013,Facebook Ads,Desktop,Web Dev,2025-01-05 14:58:00,True,False,False,False,2025-01-05 15:11:00,2025-01-06 02:11:00,2025-01-14 02:11:00,0,65,1,January,1,1,Sunday,,,,Landing,65
USR-014,Organic SEO,Desktop,Digital Marketing,2025-04-20 15:08:00,True,True,False,False,2025-04-20 15:19:00,2025-04-21 07:19:00,2025-04-22 07:19:00,0,0,4,April,4,16,Sunday,0.18333333333333332,,,Signup,0
USR-015,Google Ads,Mobile,Digital Marketing,2025-06-20 20:19:00,True,True,True,False,2025-06-20 20:34:00,2025-06-22 11:34:00,2025-07-09 11:34:00,0,120,6,June,6,25,Friday,0.25,39.25,,Trial,120
USR-016,Google Ads,Mobile,Data Science,2025-12-01 22:29:00,True,True,False,False,2025-12-01 23:58:00,2025-12-03 23:58:00,2025-12-08 23:58:00,0,120,12,December,12,49,Monday,1.4833333333333334,,,Signup,120
USR-017,Google Ads,Mobile,Data Science,2025-03-09 15:21:00,True,False,False,False,2025-03-09 15:55:00,2025-03-11 09:55:00,2025-03-31 09:55:00,0,120,3,March,3,10,Sunday,,,,Landing,120
USR-018,Referral,Mobile,Data Science,2025-11-23 17:38:00,False,False,False,False,2025-11-23 18:13:00,2025-11-24 12:13:00,2025-12-09 12:13:00,0,20,11,November,11,47,Sunday,,,,Ad Only,20
USR-019,Referral,Desktop,Design,2025-10-16 20:30:00,True,False,False,False,2025-10-16 21:33:00,2025-10-18 18:33:00,2025-10-23 18:33:00,0,20,10,October,10,42,Thursday,,,,Landing,20
USR-020,Google Ads,Desktop,Data Science,2025-04-08 19:52:00,True,True,True,False,2025-04-08 21:32:00,2025-04-10 11:32:00,2025-04-18 11:32:00,0,120,4,April,4,15,Tuesday,1.6666666666666667,39.666666666666664,,Trial,120
USR-021,Google Ads,Desktop,Data Science,2025-08-31 16:18:00,False,False,False,False,2025-08-31 16:53:00,2025-09-01 15:53:00,2025-09-22 15:53:00,0,120,8,August,8,35,Sunday,,,,Ad Only,120
USR-022,Google Ads,Mobile,Data Science,2025-04-27 20:52:00,False,False,False,False,2025-04-27 22:37:00,2025-04-29 07:37:00,2025-05-12 07:37:00,0,120,4,April,4,17,Sunday,,,,Ad Only,120
USR-023,Facebook Ads,Mobile,Design,2025-08-20 13:28:00,True,False,False,False,2025-08-20 13:37:00,2025-08-20 20:37:00,2025-08-26 20:37:00,0,65,8,August,8,34,Wednesday,,,,Landing,65
USR-024,Organic SEO,Mobile,Data Science,2025-06-04 18:50:00,True,True,False,False,2025-06-04 19:20:00,2025-06-06 17:20:00,2025-06-26 17:20:00,0,0,6,June,6,23,Wednesday,0.5,,,Signup,0
USR-025,Google Ads,Mobile,Finance,2025-09-24 22:13:00,True,False,False,False,2025-09-24 23:48:00,2025-09-25 23:48:00,2025-10-01 23:48:00,0,120,9,September,9,39,Wednesday,,,,Landing,120
USR-026,Google Ads,Mobile,Data Science,2025-03-25 12:54:00,True,False,False,False,2025-03-25 13:01:00,2025-03-25 18:01:00,2025-04-02 18:01:00,0,120,3,March,3,13,Tuesday,,,,Landing,120
USR-027,Facebook Ads,Tablet,Digital Marketing,2025-09-06 20:31:00,True,False,False,False,2025-09-06 21:05:00,2025-09-08 12:05:00,2025-09-20 12:05:00,0,65,9,September,9,36,Saturday,,,,Landing,65
USR-028,YouTube Ads,Mobile,Data Science,2025-06-25 18:46:00,True,False,False,False,2025-06-25 20:29:00,2025-06-26 11:29:00,2025-07-15 11:29:00,0,45,6,June,6,26,Wednesday,,,,Landing,45
USR-029,Facebook Ads,Mobile,Digital Marketing,2025-05-11 15:24:00,True,False,False,False,2025-05-11 16:15:00,2025-05-12 12:15:00,2025-05-19 12:15:00,0,65,5,May,5,19,Sunday,,,,Landing,65
USR-030,YouTube Ads,Desktop,Web Dev,2025-05-06 18:10:00,True,False,False,False,2025-05-06 18:15:00,2025-05-07 12:15:00,2025-05-12 12:15:00,0,45,5,May,5,19,Tuesday,,,,Landing,45
USR-031,Facebook Ads,Desktop,Data Science,2025-11-13 11:47:00,False,False,False,False,2025-11-13 12:49:00,2025-11-15 05:49:00,2025-11-26 05:49:00,0,65,11,November,11,46,Thursday,,,,Ad Only,65
USR-032,Facebook Ads,Tablet,Data Science,2025-09-01 17:02:00,True,True,False,False,2025-09-01 18:01:00,2025-09-02 07:01:00,2025-09-23 07:01:00,0,65,9,September,9,36,Monday,0.9833333333333333,,,Signup,65
